13,"ENSG00000137996.13","RTCA",chr1,+,100285227,100285322,100287098,100287203,100277257,100277316,100291402,100291771,0,0,43,0,0,0,0,0,82,0
19,"ENSG00000233184.8","ENSG00000233184",chr1,+,101072659,101072830,101075394,101075716,101025886,101026061,101077362,101077508,11,0,0,0,0,0,0,0,0,0
20,"ENSG00000233184.8","ENSG00000233184",chr1,+,101075275,101075394,101075394,101075716,101072659,101072830,101077362,101077508,15,13,0,0,21,15,0,12,0,13
21,"ENSG00000233184.8","ENSG00000233184",chr1,+,101075394,101075716,101077362,101077508,101072659,101072830,101083460,101083574,7,0,0,0,0,0,0,0,0,0
22,"ENSG00000233184.8","ENSG00000233184",chr1,+,101077362,101077508,101080388,101080613,101075394,101075716,101083460,101083574,0,10,0,0,0,0,0,0,0,16
32,"ENSG00000185946.16","RNPC3",chr1,+,103543295,103543447,103544940,103545102,103541349,103541475,103546247,103546342,0,0,0,0,0,0,50,0,0,0
33,"ENSG00000185946.16","RNPC3",chr1,+,103543298,103543447,103544940,103545102,103541349,103541475,103546247,103546342,0,0,0,0,0,0,13,0,0,0
34,"ENSG00000142657.21","PGD",chr1,+,10403070,10403136,10404160,10404279,10400392,10400572,10408070,10408140,446,0,196,95,207,0,507,0,0,0
38,"ENSG00000121957.15","GPSM2",chr1,+,108914337,108914408,108918612,108918789,108904124,108904254,108922416,108922576,10,4,2,0,5,0,7,5,17,35
39,"ENSG00000121957.15","GPSM2",chr1,+,108918612,108918789,108922416,108922576,108914337,108914408,108923999,108924214,13,3,0,0,0,0,9,0,14,31
40,"ENSG00000121957.15","GPSM2",chr1,+,108922416,108922576,108923999,108924214,108918612,108918789,108929700,108930377,20,9,0,0,5,0,10,9,11,39
43,"ENSG00000031698.13","SARS1",chr1,+,109236390,109236548,109236804,109236870,109235976,109236106,109237243,109237373,0,232,0,0,0,0,198,108,0,501
44,"ENSG00000031698.13","SARS1",chr1,+,109236390,109236548,109237243,109237373,109235976,109236106,109237730,109238148,0,0,47,0,0,0,0,0,0,0
55,"ENSG00000120948.19","TARDBP",chr1,+,11015523,11015646,11016122,11016254,11013715,11013965,11016843,11017007,34,46,30,61,77,40,62,41,75,35
56,"ENSG00000120948.19","TARDBP",chr1,+,11016843,11017007,11018732,11018873,11013715,11013965,11020428,11020599,0,0,0,0,0,0,0,0,198,0
65,"ENSG00000064886.14","CHI3L2",chr1,+,111236023,111236153,111238749,111238932,111235638,111235763,111241326,111241443,0,0,0,0,62,0,0,0,0,0
86,"ENSG00000163349.22","HIPK1",chr1,+,113962316,113962438,113963386,113963521,113958065,113958291,113966129,113966272,0,0,252,0,0,0,0,0,0,0
87,"ENSG00000163349.22","HIPK1",chr1,+,113963386,113963521,113966129,113966272,113962316,113962438,113967765,113967948,0,0,0,0,429,0,522,0,0,0
92,"ENSG00000116830.12","TTF2",chr1,+,117079567,117079649,117081827,117081947,117077915,117078043,117084017,117084168,0,0,0,0,0,0,20,0,0,0
98,"ENSG00000083444.17","PLOD1",chr1,+,11956916,11957014,11957089,11957193,11954829,11954893,11957841,11957943,71,31,42,0,51,30,82,11,60,145
99,"ENSG00000092621.13","PHGDH",chr1,+,119737113,119737266,119741766,119741897,119735294,119735443,119742806,119743044,0,0,0,0,8,0,0,0,0,0
101,"ENSG00000116688.18","MFN2",chr1,+,11982522,11982590,11988426,11988516,11981969,11982114,11989164,11989343,0,10,0,0,20,0,19,0,22,12
102,"ENSG00000116688.18","MFN2",chr1,+,11982522,11982590,11988721,11988843,11981969,11982114,11989164,11989343,0,10,0,0,20,0,19,0,22,12
103,"ENSG00000116688.18","MFN2",chr1,+,11982522,11982590,11988781,11988843,11981969,11982114,11989164,11989343,0,10,0,0,20,0,19,0,22,12
104,"ENSG00000116688.18","MFN2",chr1,+,11982522,11982590,11989164,11989343,11981969,11982114,11996155,11996318,0,0,0,0,0,0,0,0,0,0
106,"ENSG00000116688.18","MFN2",chr1,+,11989164,11989343,11992554,11992690,11981969,11982114,11996155,11996318,0,0,73,0,0,0,0,0,0,0
107,"ENSG00000116688.18","MFN2",chr1,+,11989164,11989343,11996155,11996318,11981969,11982114,11997296,11997421,0,0,0,0,0,0,150,0,0,0
108,"ENSG00000116688.18","MFN2",chr1,+,11989164,11989343,11996155,11996318,11982522,11982590,11997296,11997421,0,0,3,0,17,0,10,3,0,0
109,"ENSG00000116688.18","MFN2",chr1,+,11992554,11992690,11996155,11996318,11989164,11989343,11997296,11997421,0,0,68,0,0,0,0,0,0,0
112,"ENSG00000273136.8","NBPF26",chr1,+,120813890,120813993,120814828,120815043,120811885,120812095,120816084,120816157,0,0,0,0,116,0,0,0,0,0
113,"ENSG00000273136.8","NBPF26",chr1,+,120831987,120832160,120833602,120833775,120831297,120831349,120834494,120834546,0,25,0,0,0,34,0,30,0,0
122,"ENSG00000048707.15","VPS13D",chr1,+,12358458,12358601,12362719,12362850,12356397,12356524,12363071,12363247,0,0,0,0,43,0,12,35,0,0
125,"ENSG00000048707.15","VPS13D",chr1,+,12415086,12415221,12416659,12416827,12403824,12403973,12455997,12456071,0,0,0,0,57,0,34,40,0,0
126,"ENSG00000048707.15","VPS13D",chr1,+,12416659,12416827,12455997,12456130,12415086,12415221,12460200,12460396,0,0,0,0,59,0,36,0,0,0
129,"ENSG00000117262.19","GPR89A",chr1,+,145645646,145645743,145646183,145646272,145643868,145643978,145647174,145647267,0,0,0,0,3,0,2,0,0,0
141,"ENSG00000131778.20","CHD1L",chr1,+,147256530,147256562,147259836,147259918,147255812,147255927,147267425,147267518,0,0,0,0,43,0,0,0,0,0
143,"ENSG00000131778.20","CHD1L",chr1,+,147259836,147259918,147264428,147264584,147256530,147256562,147265931,147266087,0,79,0,0,78,0,168,74,167,171
187,"ENSG00000143363.17","PRUNE1",chr1,+,151024610,151024795,151025514,151025673,151018466,151018669,151027232,151027327,0,43,0,0,0,0,42,0,55,0
192,"ENSG00000143398.20","PIP5K1A",chr1,+,151224244,151224279,151224370,151224406,151198551,151199081,151227319,151227400,22,0,0,0,0,0,0,0,0,0
193,"ENSG00000143398.20","PIP5K1A",chr1,+,151224370,151224406,151227319,151227400,151224244,151224279,151231670,151231801,0,0,0,0,0,16,0,0,0,0
194,"ENSG00000143398.20","PIP5K1A",chr1,+,151227319,151227400,151231670,151231801,151223879,151224279,151232247,151232345,0,0,0,0,0,0,0,0,53,0
203,"ENSG00000160679.13","CHTOP",chr1,+,153636571,153636653,153638294,153638448,153633981,153634343,153642242,153642429,0,0,0,0,0,0,0,52,0,0
204,"ENSG00000160679.13","CHTOP",chr1,+,153636571,153636653,153638294,153638448,153634065,153634343,153642245,153642429,0,0,0,0,0,0,0,0,112,0
207,"ENSG00000143624.14","INTS3",chr1,+,153764117,153764221,153764689,153764734,153763831,153763886,153764943,153765063,0,19,0,0,0,0,0,0,0,0
228,"ENSG00000143537.14","ADAM15",chr1,+,155055789,155055852,155055931,155056000,155054313,155054506,155056385,155056470,0,0,0,0,0,0,59,0,0,0
229,"ENSG00000143537.14","ADAM15",chr1,+,155060762,155060832,155061414,155061489,155060204,155060343,155061903,155061975,0,0,0,0,36,0,0,0,0,0
230,"ENSG00000143537.14","ADAM15",chr1,+,155060762,155060832,155061414,155061489,155060204,155060343,155062244,155062369,0,0,0,0,43,0,0,0,0,0
231,"ENSG00000143537.14","ADAM15",chr1,+,155060762,155060832,155061417,155061489,155060204,155060343,155062244,155062369,80,27,45,13,43,19,104,41,75,39
243,"ENSG00000132676.16","DAP3",chr1,+,155709772,155709824,155717005,155717128,155689090,155689174,155725381,155725490,0,53,0,0,91,0,0,0,0,0
