"ENSG00000283761.1"	"ENSG00000283761"	chr1	+	100015301	100015420	100043072	100043229	100011364	100011533	100049908	100050004	35	3
"ENSG00000283761.1"	"ENSG00000283761"	chr1	+	100068472	100068586	100069613	100069685	100067976	100068195	100077164	100077277	20	63
"ENSG00000137996.13"	"RTCA"	chr1	+	100267165	100267245	100267499	100267538	100266523	100266624	100268151	100268295	0	15
"ENSG00000137996.13"	"RTCA"	chr1	+	100285227	100285322	100287098	100287203	100277257	100277316	100291402	100291771	43	12
"ENSG00000079335.20"	"CDC14A"	chr1	+	100353761	100353852	100377545	100377621	100345037	100345183	100390731	100390824	1	50
"ENSG00000142657.21"	"PGD"	chr1	+	10403070	10403136	10404160	10404279	10400392	10400572	10408070	10408140	196	147
"ENSG00000121957.15"	"GPSM2"	chr1	+	108914337	108914408	108918612	108918789	108904124	108904254	108922416	108922576	2	9
"ENSG00000031698.13"	"SARS1"	chr1	+	109236390	109236548	109237243	109237373	109235976	109236106	109237730	109238148	47	102
"ENSG00000120948.19"	"TARDBP"	chr1	+	11015523	11015646	11016122	11016254	11013715	11013965	11016843	11017007	30	14
"ENSG00000143119.14"	"CD53"	chr1	+	110894959	110895055	110896652	110896733	110894326	110894401	110897808	110897892	27	29
"ENSG00000143119.14"	"CD53"	chr1	+	110896652	110896733	110897808	110897892	110894959	110895055	110899123	110899922	34	33
"ENSG00000116459.11"	"ATP5PB"	chr1	+	111454210	111454356	111456085	111456249	111449836	111449873	111456629	111456755	40	162
"ENSG00000116459.11"	"ATP5PB"	chr1	+	111454210	111454356	111456226	111456249	111449836	111449873	111456629	111456755	40	41
"ENSG00000198799.12"	"LRIG2"	chr1	+	113110241	113110562	113112478	113112760	113107593	113107757	113114426	113114876	2	24
"ENSG00000163349.22"	"HIPK1"	chr1	+	113962316	113962438	113963386	113963521	113958065	113958291	113966129	113966272	252	207
"ENSG00000163349.22"	"HIPK1"	chr1	+	113969955	113970197	113971823	113971954	113968441	113968648	113973023	113973571	150	113
"ENSG00000083444.17"	"PLOD1"	chr1	+	11956916	11957014	11957089	11957193	11954829	11954893	11957841	11957943	42	4
"ENSG00000116688.18"	"MFN2"	chr1	+	11982522	11982590	11989164	11989343	11981969	11982114	11996155	11996318	0	73
