ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"ENSG00000012817.16"	"KDM5D"	chrY	-	19739527	19739662	19741317	19741488	19735620	19735750	19741734	19741857	2	84	61			148	148	NA	NA	0.579		NA
3	"ENSG00000012817.16"	"KDM5D"	chrY	-	19741317	19741488	19741734	19741857	19739527	19739662	19743161	19743239	3	86	66			148	148	NA	NA	0.566		NA
4	"ENSG00000183878.16"	"UTY"	chrY	-	13335562	13336335	13354785	13354833	13326220	13326350	13355002	13355398	4	22	103			122	148	NA	NA	0.206		NA
5	"ENSG00000183878.16"	"UTY"	chrY	-	13358463	13358553	13359087	13359222	13357876	13357969	13359766	13359986	5	10	8			148	148	NA	NA	0.556		NA
6	"ENSG00000183878.16"	"UTY"	chrY	-	13358463	13358619	13359087	13359222	13357876	13357969	13359766	13359986	6	10	10			148	148	NA	NA	0.5		NA
7	"ENSG00000183878.16"	"UTY"	chrY	-	13360429	13360528	13366266	13366393	13359766	13359986	13369255	13369349	7	135	65			148	148	NA	NA	0.675		NA
8	"ENSG00000099725.14"	"PRKY"	chrY	+	7325905	7326169	7341114	7341234	7303936	7304105	7356134	7356230	8	63	56			148	148	NA	NA	0.529		NA
10	"ENSG00000067646.12"	"ZFY"	chrY	+	2975510	2975654	2976669	2976822	2975094	2975244	2977939	2978080	10	57	70			148	148	NA	NA	0.449		NA
12	"ENSG00000196924.19"	"FLNA"	chrX	-	154359989	154360587	154361307	154361570	154359731	154359905	154361669	154361787	12	583	863			148	148	NA	NA	0.403		NA
13	"ENSG00000196924.19"	"FLNA"	chrX	-	154361307	154361570	154361669	154361787	154359989	154360587	154361978	154362148	13	670	617			148	148	NA	NA	0.521		NA
14	"ENSG00000196924.19"	"FLNA"	chrX	-	154365348	154365486	154365744	154365801	154365135	154365259	154366023	154366224	14	6	1028			131	148	NA	NA	0.007		NA
15	"ENSG00000196924.19"	"FLNA"	chrX	-	154365348	154365486	154365744	154366224	154365135	154365259	154366307	154366470	15	644	690			148	148	NA	NA	0.483		NA
16	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154365801	154366023	154366224	154365348	154365486	154366307	154366470	16	997	57			148	131	NA	NA	0.939		NA
