ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
15	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449680	154449931	154449680	154449735	154449882	154449931	15	19	14			148	74	NA	NA	0.404		NA
16	"ENSG00000147403.18"	"RPL10"	chrX	+	154398376	154398542	154398376	154398394	154398496	154398542	16	109	540			148	74	NA	NA	0.092		NA
17	"ENSG00000147403.18"	"RPL10"	chrX	+	154399337	154399594	154399337	154399396	154399486	154399594	17	208	2378			148	74	NA	NA	0.042		NA
18	"ENSG00000147403.18"	"RPL10"	chrX	+	154399802	154400626	154399802	154399941	154400463	154400626	18	182	4850			148	74	NA	NA	0.018		NA
19	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154350908	154351696	19	148	728			148	74	NA	NA	0.092		NA
20	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154351580	154351696	20	200	2			148	74	NA	NA	0.98		NA
21	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154350908	154351041	154351580	154351696	21	213	606			148	74	NA	NA	0.149		NA
22	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154366224	154365744	154365801	154366023	154366224	22	152	2			148	74	NA	NA	0.974		NA
24	"ENSG00000102030.16"	"NAA10"	chrX	-	153932070	153932431	153932070	153932115	153932315	153932431	24	10	42			148	74	NA	NA	0.106		NA
25	"ENSG00000180879.14"	"SSR4"	chrX	+	153798070	153798493	153798070	153798136	153798328	153798493	25	10	76			148	74	NA	NA	0.062		NA
30	"ENSG00000063587.15"	"ZNF275"	chrX	+	153346818	153352926	153346818	153347655	153347753	153352926	30	29	0			148	74	NA	NA	1.0		NA
37	"ENSG00000171100.16"	"MTM1"	chrX	+	150660370	150663609	150660370	150660484	150663432	150663609	37	2	10			148	74	NA	NA	0.091		NA
41	"ENSG00000147274.14"	"RBMX"	chrX	-	136872267	136875168	136872267	136872345	136875085	136875168	41	46	49			148	74	NA	NA	0.319		NA
42	"ENSG00000147274.14"	"RBMX"	chrX	-	136879016	136879453	136879016	136879123	136879318	136879453	42	17	178			148	74	NA	NA	0.046		NA
43	"ENSG00000147274.14"	"RBMX"	chrX	-	136879016	136879453	136879016	136879158	136879318	136879453	43	14	1			148	74	NA	NA	0.875		NA
46	"ENSG00000156531.18"	"PHF6"	chrX	+	134425200	134428768	134425200	134425330	134426161	134428768	46	64	1			148	74	NA	NA	0.97		NA
47	"ENSG00000102034.18"	"ELF4"	chrX	-	130081255	130081539	130081255	130081312	130081436	130081539	47	65	2			148	74	NA	NA	0.942		NA
48	"ENSG00000101972.20"	"STAG2"	chrX	+	124090574	124090964	124090574	124090764	124090853	124090964	48	10	0			148	74	NA	NA	1.0		NA
49	"ENSG00000158290.19"	"CUL4B"	chrX	-	120538123	120538770	120538123	120538209	120538659	120538770	49	8	23			148	74	NA	NA	0.148		NA
51	"ENSG00000101843.19"	"PSMD10"	chrX	-	108087952	108088099	108087952	108087972	108088095	108088099	51	67	0			148	74	NA	NA	1.0		NA
52	"ENSG00000147224.13"	"PRPS1"	chrX	+	107649939	107651026	107649939	107650522	107650577	107651026	52	23	6			129	74	NA	NA	0.687		NA
58	"ENSG00000187325.5"	"TAF9B"	chrX	-	78137748	78138098	78137748	78137883	78137961	78138098	58	19	3			148	74	NA	NA	0.76		NA
59	"ENSG00000225470.8"	"JPX"	chrX	+	73944338	73944662	73944338	73944465	73944583	73944662	59	14	31			148	74	NA	NA	0.184		NA
60	"ENSG00000225470.8"	"JPX"	chrX	+	73998767	74000496	73998767	73998844	73998953	74000496	60	15	0			148	74	NA	NA	1.0		NA
62	"ENSG00000225470.8"	"JPX"	chrX	+	73998767	74000496	73998767	73998844	73999354	74000496	62	16	1			148	74	NA	NA	0.889		NA
65	"ENSG00000147099.21"	"HDAC8"	chrX	-	72567581	72568030	72567581	72567796	72567888	72568030	65	11	5			148	74	NA	NA	0.524		NA
66	"ENSG00000147162.14"	"OGT"	chrX	+	71544566	71548023	71544566	71544635	71547906	71548023	66	288	3			148	74	NA	NA	0.98		NA
67	"ENSG00000147133.17"	"TAF1"	chrX	+	71423116	71424066	71423116	71423239	71423973	71424066	67	26	11			148	74	NA	NA	0.542		NA
68	"ENSG00000147133.17"	"TAF1"	chrX	+	71423116	71424066	71423116	71423264	71423973	71424066	68	25	1			148	74	NA	NA	0.926		NA
69	"ENSG00000147133.17"	"TAF1"	chrX	+	71423116	71424066	71423116	71423239	71424016	71424066	69	27	0			148	74	NA	NA	1.0		NA
70	"ENSG00000147133.17"	"TAF1"	chrX	+	71423116	71424066	71423116	71423264	71424016	71424066	70	26	1			148	74	NA	NA	0.929		NA
71	"ENSG00000196338.15"	"NLGN3"	chrX	+	71147549	71148206	71147549	71147627	71148062	71148206	71	33	0			148	74	NA	NA	1.0		NA
72	"ENSG00000196338.15"	"NLGN3"	chrX	+	71147549	71148905	71147549	71148206	71148845	71148905	72	11	0			148	74	NA	NA	1.0		NA
73	"ENSG00000184634.17"	"MED12"	chrX	+	71123593	71124388	71123593	71123720	71124158	71124388	73	64	30			148	74	NA	NA	0.516		NA
74	"ENSG00000184634.17"	"MED12"	chrX	+	71123593	71124388	71123593	71123720	71124278	71124388	74	95	1			148	74	NA	NA	0.979		NA
75	"ENSG00000184634.17"	"MED12"	chrX	+	71127335	71128120	71127335	71127467	71127847	71128120	75	59	1			148	74	NA	NA	0.967		NA
76	"ENSG00000184634.17"	"MED12"	chrX	+	71127335	71128120	71127335	71127467	71127892	71128120	76	52	20			148	74	NA	NA	0.565		NA
77	"ENSG00000184634.17"	"MED12"	chrX	+	71128295	71129215	71128295	71128440	71128597	71129215	77	10	65			148	74	NA	NA	0.071		NA
78	"ENSG00000184634.17"	"MED12"	chrX	+	71128295	71129215	71128295	71128440	71129113	71129215	78	19	1			148	74	NA	NA	0.905		NA
79	"ENSG00000184634.17"	"MED12"	chrX	+	71128597	71129215	71128597	71128718	71129113	71129215	79	47	51			148	74	NA	NA	0.315		NA
80	"ENSG00000184634.17"	"MED12"	chrX	+	71128597	71129215	71128597	71128853	71129113	71129215	80	40	1			148	74	NA	NA	0.952		NA
81	"ENSG00000184634.17"	"MED12"	chrX	+	71129113	71129429	71129113	71129215	71129315	71129429	81	65	31			148	74	NA	NA	0.512		NA
82	"ENSG00000184634.17"	"MED12"	chrX	+	71129679	71130214	71129679	71129855	71130011	71130214	82	39	2			148	74	NA	NA	0.907		NA
