ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
15	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449680	154449931	154449680	154449735	154449882	154449931	15	29	27			148	74	NA	NA	0.349		NA
16	"ENSG00000147403.18"	"RPL10"	chrX	+	154398376	154398542	154398376	154398394	154398496	154398542	16	25	453			148	74	NA	NA	0.027		NA
17	"ENSG00000147403.18"	"RPL10"	chrX	+	154399337	154399594	154399337	154399396	154399486	154399594	17	201	1766			148	74	NA	NA	0.054		NA
18	"ENSG00000147403.18"	"RPL10"	chrX	+	154399802	154400626	154399802	154399941	154400463	154400626	18	307	4718			148	74	NA	NA	0.032		NA
19	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154350908	154351696	19	175	1225			148	74	NA	NA	0.067		NA
20	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154350908	154351041	154351580	154351696	20	188	915			148	74	NA	NA	0.093		NA
21	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154366224	154365744	154365801	154366023	154366224	21	192	2			148	74	NA	NA	0.98		NA
23	"ENSG00000102030.16"	"NAA10"	chrX	-	153932070	153932431	153932070	153932115	153932315	153932431	23	28	30			148	74	NA	NA	0.318		NA
24	"ENSG00000180879.14"	"SSR4"	chrX	+	153798070	153798493	153798070	153798136	153798328	153798493	24	3	65			148	74	NA	NA	0.023		NA
29	"ENSG00000063587.15"	"ZNF275"	chrX	+	153346818	153352926	153346818	153347655	153347753	153352926	29	40	1			148	74	NA	NA	0.952		NA
36	"ENSG00000171100.16"	"MTM1"	chrX	+	150660370	150663609	150660370	150660484	150663432	150663609	36	3	22			148	74	NA	NA	0.064		NA
40	"ENSG00000147274.14"	"RBMX"	chrX	-	136872267	136875168	136872267	136872345	136875085	136875168	40	231	39			148	74	NA	NA	0.748		NA
41	"ENSG00000147274.14"	"RBMX"	chrX	-	136879016	136879453	136879016	136879123	136879318	136879453	41	36	129			148	74	NA	NA	0.122		NA
42	"ENSG00000147274.14"	"RBMX"	chrX	-	136879016	136879453	136879016	136879158	136879318	136879453	42	39	2			148	74	NA	NA	0.907		NA
45	"ENSG00000156531.18"	"PHF6"	chrX	+	134425200	134428768	134425200	134425330	134426161	134428768	45	25	0			148	74	NA	NA	1.0		NA
46	"ENSG00000102034.18"	"ELF4"	chrX	-	130081255	130081539	130081255	130081312	130081436	130081539	46	45	0			148	74	NA	NA	1.0		NA
47	"ENSG00000101972.20"	"STAG2"	chrX	+	124090574	124090964	124090574	124090764	124090853	124090964	47	14	4			148	74	NA	NA	0.636		NA
48	"ENSG00000158290.19"	"CUL4B"	chrX	-	120538123	120538770	120538123	120538209	120538659	120538770	48	19	40			148	74	NA	NA	0.192		NA
50	"ENSG00000101843.19"	"PSMD10"	chrX	-	108087952	108088099	108087952	108087972	108088095	108088099	50	59	0			148	74	NA	NA	1.0		NA
51	"ENSG00000147224.13"	"PRPS1"	chrX	+	107649939	107651026	107649939	107650522	107650577	107651026	51	43	2			129	74	NA	NA	0.925		NA
57	"ENSG00000187325.5"	"TAF9B"	chrX	-	78137748	78138098	78137748	78137883	78137961	78138098	57	18	0			148	74	NA	NA	1.0		NA
58	"ENSG00000225470.8"	"JPX"	chrX	+	73944338	73944662	73944338	73944465	73944583	73944662	58	15	24			148	74	NA	NA	0.238		NA
59	"ENSG00000225470.8"	"JPX"	chrX	+	73998767	74000496	73998767	73998844	73998953	74000496	59	12	11			148	74	NA	NA	0.353		NA
60	"ENSG00000225470.8"	"JPX"	chrX	+	73998953	73999669	73998953	73999051	73999185	73999669	60	18	2			148	74	NA	NA	0.818		NA
61	"ENSG00000225470.8"	"JPX"	chrX	+	73998767	74000496	73998767	73998844	73999354	74000496	61	19	1			148	74	NA	NA	0.905		NA
65	"ENSG00000147162.14"	"OGT"	chrX	+	71544566	71548023	71544566	71544635	71547906	71548023	65	733	10			148	74	NA	NA	0.973		NA
